endpoint,model_type,term,hazard_ratio,ci_lower,ci_upper,p_value,log_hr,se_log_hr,model_n,model_events
Recurrence-Free Survival,Unadjusted,Lev vs Obs,0.9849904941747718,0.7985238827009025,1.2149996946028283,0.8876802939839129,-0.015123288440603353,0.10707505810070753,929,468
Recurrence-Free Survival,Unadjusted,Lev+5FU vs Obs,0.5992399837479077,0.4749246741474588,0.7560958140715588,1.5824322885056284e-05,-0.5120931204541302,0.11862548357694537,929,468
Recurrence-Free Survival,Adjusted,Lev vs Obs,0.934073696983161,0.7509054365046343,1.1619221662012902,0.5402734583832673,-0.06819993917321414,0.11136510854307624,888,446
Recurrence-Free Survival,Adjusted,Lev+5FU vs Obs,0.597943075219416,0.47085158598182425,0.7593388911652805,2.4626434360963214e-05,-0.5142597215033216,0.12191460060748849,888,446
Overall Survival,Unadjusted,Lev vs Obs,0.9737141850915205,0.7844022674815716,1.2087156724986374,0.8091743051063445,-0.026637462867411456,0.11030399544677962,929,452
Overall Survival,Unadjusted,Lev+5FU vs Obs,0.6895539926085181,0.5463649515007076,0.8702694186666408,0.0017475490209933019,-0.3717102779132019,0.11875399962658517,929,452
Overall Survival,Adjusted,Lev vs Obs,0.9208398384840856,0.7356124907845764,1.152707463184876,0.47168938975496766,-0.08246915743208481,0.11458298395963035,888,430
Overall Survival,Adjusted,Lev+5FU vs Obs,0.6862689706535293,0.540072208187183,0.8720409844133719,0.0020686673034173604,-0.3764856426009142,0.12222795249863237,888,430
